sensor_data,time,measure_name,measure_value
senor_1,2024-03-29 18:59:19.034000000,temperature,-5.400000095
senor_1,2024-03-29 18:59:19.034000000,humidity,28.0
senor_1,2024-03-29 18:59:18.008000000,temperature,-5.300000191
senor_1,2024-03-29 18:59:18.008000000,humidity,25.0
senor_1,2024-03-29 18:59:17.036000000,temperature,-5.300000191
senor_1,2024-03-29 18:59:17.036000000,humidity,25.0
senor_1,2024-03-29 18:59:15.971000000,temperature,-5.199999809
senor_1,2024-03-29 18:59:15.971000000,humidity,23.0
senor_1,2024-03-29 18:59:14.965000000,temperature,-5.199999809
senor_1,2024-03-29 18:59:14.965000000,humidity,23.0
senor_1,2024-03-29 18:59:14.006000000,temperature,-5.199999809
senor_1,2024-03-29 18:59:14.006000000,humidity,21.0
senor_1,2024-03-29 18:59:12.988000000,temperature,-5.199999809
senor_1,2024-03-29 18:59:12.988000000,humidity,21.0
senor_1,2024-03-29 18:59:11.939000000,temperature,-5.300000191
senor_1,2024-03-29 18:59:11.939000000,humidity,20.0
senor_1,2024-03-29 18:59:10.957000000,temperature,-5.300000191
senor_1,2024-03-29 18:59:10.957000000,humidity,20.0
senor_1,2024-03-29 18:59:09.913000000,temperature,-5.400000095
senor_1,2024-03-29 18:59:09.913000000,humidity,19.0
senor_1,2024-03-29 18:59:08.925000000,temperature,-5.400000095
senor_1,2024-03-29 18:59:08.925000000,humidity,19.0
senor_1,2024-03-29 18:59:07.884000000,temperature,-5.5
senor_1,2024-03-29 18:59:07.884000000,humidity,19.0
senor_1,2024-03-29 18:59:06.891000000,temperature,-5.5
senor_1,2024-03-29 18:59:06.891000000,humidity,19.0
senor_1,2024-03-29 18:59:05.875000000,temperature,-5.599999905
senor_1,2024-03-29 18:59:05.875000000,humidity,19.0
senor_1,2024-03-29 18:59:04.867000000,temperature,-5.599999905
senor_1,2024-03-29 18:59:04.867000000,humidity,19.0
senor_1,2024-03-29 18:59:03.913000000,temperature,-5.800000191
senor_1,2024-03-29 18:59:03.913000000,humidity,19.0
senor_1,2024-03-29 18:59:02.849000000,temperature,-5.800000191
senor_1,2024-03-29 18:59:02.849000000,humidity,19.0
senor_1,2024-03-29 18:59:01.816000000,temperature,-5.900000095
senor_1,2024-03-29 18:59:01.816000000,humidity,19.0
senor_1,2024-03-29 18:59:00.765000000,temperature,-5.900000095
senor_1,2024-03-29 18:59:00.765000000,humidity,19.0
senor_1,2024-03-29 18:58:59.781000000,temperature,-4.099999905
senor_1,2024-03-29 18:58:59.781000000,humidity,19.0
senor_1,2024-03-29 18:58:58.892000000,temperature,-4.099999905
